#;vocabulary-kanji;vocabulary-kana;vocabulary-romaji;Type;translation
160;下手;へた;heta;Noun, な-adjective;unskillful, poor, awkward​
161;部屋;へや;heya;Noun;room
162;左;ひだり;hidari;Noun;left, left hand side
163;東;ひがし;higashi;Noun;east
164;飛行機;ひこうき;hikouki;Noun;airplane, aircraft
165;引く;ひく;hiku;Godan verb (transitive);to pull
166;弾く;ひく;hiku;Godan verb (transitive);to play
167;低い;ひくい;hikui;い-adjective;short,low
168;暇;ひま;hima;Noun, な-adjective;free time
169;広い;ひろい;hiroi;い-adjective;spacious, vast, wide
170;昼;ひる;hiru;Noun;noon, midday, daytime, lunch
171;昼ご飯;ひるごはん;hirugohan;Noun;lunch
172;人;ひと;hito;Noun;person, human
173;一人;ひとり;hitori;Noun, Adverb;one person​, alone, single
174;一つ;ひとつ;hitotsu;Noun, Numeric;one thing, only
175;ほか;empty;hoka;Noun;other (place, thing, person), the rest
176;本;ほん;hon;Noun;book, volume, script
177;本棚;ほんだな;hondana;Noun;bookshelf, bookcase
178;本当;ほんとう;hontou;Noun, な-adjective;truth, reality, actuality, fact
179;欲しい;ほしい;hoshii;い-adjective;want
180;細い;ほそい;hosoi;い-adjective;thin, slender
181;ホテル;empty;hoteru;Noun;hotel
182;百;ひゃく;hyaku;Noun, Numeric;100, hundred
183;一;いち;ichi;Noun, Prefix, Suffix, Numeric;one, best, first, foremost, start
184;一番;いちばん;ichiban;Noun, Adverb;number one, first, 1st, first place​, best, most​
185;一日;いちにち;ichinichi;Noun, Adverbial Noun;one day, all day
186;家;いえ;ie;Noun;house, residence, family
187;いかが;empty;ikaga;Adverb;how, in what way, how about​
188;池;いけ;ike;Noun;pond
189;行く;いく;iku;Godan verb (intransitive);to go, to move
190;いくら;empty;ikura;Noun, Adverb;how much?, how many?​
191;いくつ;empty;ikutsu;Adverb;how many?,how old?
192;今;いま;ima;Noun, Adverbial Noun;now, the present time, soon
193;意味;いみ;imi;Noun;meaning, significance, sense
194;妹;いもうと;imouto;Noun;younger sister
195;犬;いぬ;inu;Noun;dog
196;入れる;いれる;ireru;Ichidan verb (transitiv);to put in, to let in, to take in, to bring in, to insert, to install
197;入口;いりぐち;iriguchi;Noun;entrance, entry, gate
198;色;いろ;iro;Noun;colour, color
199;色々;いろいろ;iroiro;Noun, な-adjective, Adverb;various
200;要る;いる;iru;Godan verb (intransitive);to be needed
201;居る;いる;iru;Ichidan verb (intransitive);to be, to have
202;医者;いしゃ;isha;Noun;(medical) doctor, physician
203;忙しい;いそがしい;isogashii;い-adjective;busy
204;一緒;いっしょ;issho;Noun;together, at the same time, same, identical
205;椅子;いす;isu;Noun;chair
206;痛い;いたい;itai;い-adjective;painful, sore​
207;いつ;empty;itsu;Pronoun;when
208;五日;いつか;itsuka;Noun;the fifth day of the month / 5 days
209;五つ;いつつ;itsutsu;Noun, Numeric;five, 5
210;言う;いう;iu;Verb, Godan verb;to say, to call
211;嫌;いや;iya;Noun, な-adjective;unpleasant
212;じゃあ;empty;jaa;Conjunction;then, well, so, well then
213;字引;じびき;jibiki;Noun;dictionary
214;自分;じぶん;jibun;Pronoun;myself, yourself, oneself, himself, herself, i, me
215;自動車;じどうしゃ;jidousha;Noun;automobile, motorcar, motor vehicle, car
216;時間;じかん;jikan;Noun;time, hour(s)
217;辞書;じしょ;jisho;Noun;dictionary
218;自転車;じてんしゃ;jitensha;Noun;bicycle
219;丈夫;じょうぶ;joubu;な-adjective;strong, durable
220;上手;じょうず;jouzu;Noun, な-adjective;skillful, skilled, proficient, good (at)
221;授業;じゅぎょう;jugyou;Noun, Suru verb;lesson, class work
222;十;じゅう;juu;Noun, Numeric;ten, 10
223;かばん;empty;kaban;Noun;bag, basket​
224;花瓶;かびん;kabin;Noun;a vase
225;角;かど;kado;Noun;a corner, angle​
226;帰る;かえる;kaeru;Godan verb (intransitive);to go back​
227;返す;かえす;kaesu;Godan verb (transitive);to return something
228;鍵;かぎ;kagi;Noun;key
229;階段;かいだん;kaidan;Noun;stairs, stairway, staircase
230;買い物;かいもの;kaimono;Noun;shopping, purchased goods
231;会社;かいしゃ;kaisha;Noun;company, corporation
232;掛かる;かかる;kakaru;Godan verb (intransitive);to take (a resource, e.g. time or money)
233;掛ける;かける;kakeru;Ichidan verb (transitiv);to hang up, to make (a call)​,
234;書く;かく;kaku;Godan verb (transitive);to write, to compose, to pen, to draw
235;カメラ;empty;kamera;Noun;camera
236;紙;かみ;kami;Noun;paper
237;漢字;かんじ;kanji;Noun;kanji
238;カップ;empty;kappu;Noun;cup
239;体;からだ;karada;Noun;body
240;辛い;からい;karai;い-adjective;spicy
241;カレー;empty;karee;Noun;curry
242;カレンダー;empty;karendaa;Noun;calendar
243;借りる;かりる;kariru;Ichidan verb (transitiv);to borrow
244;軽い;かるい;karui;い-adjective;light
245;傘;かさ;kasa;Noun;umbrella
246;貸す;かす;kasu;Godan verb (transitive);to lend, to loan
247;方;かた;kata;Noun;way of doing something
248;家庭;かてい;katei;Noun;household
249;買う;かう;kau;Godan verb (transitive);to buy, to purchase
250;川;かわ;kawa;Noun, Suffix;river, stream​
251;可愛い;かわいい;kawaii;い-adjective;cute
252;火曜日;かようび;kayoubi;Noun;Tuesday
253;風;かぜ;kaze;Noun;wind
254;風邪;かぜ;kaze;Noun;a cold
255;家族;かぞく;kazoku;Noun;family, members of a family
256;警官;けいかん;keikan;Noun;policeman, police officer
257;結婚;けっこん;kekkon;Noun, Suru verb;marriage
258;結構;けっこう;kekkou;Noun, Adverbial Noun, な-adjective, Adverb;splendid, enough
259;今朝;けさ;kesa;Noun, Temporal noun;this morning
260;消す;けす;kesu;Godan verb (transitive);to erase, to turn off power
261;木;き;ki;Noun;tree, shrub, bush, wood, timber
262;消える;きえる;kieru;Ichidan verb (intransitive);to disappear
263;黄色い;きいろい;kiiroi;い-adjective;yellow
264;聞く;きく;kiku;Godan verb (transitive);to hear, to listen (to music), to ask, to learn of
265;昨日;きのう;kinou;Noun;yesterday
266;金曜日;きんようび;kinyoubi;Noun;Friday
267;切符;きっぷ;kippu;Noun;ticket
268;嫌い;きらい;kirai;Noun, な-adjective;hate
269;綺麗;きれい;kirei;な-adjective;pretty, lovely, beautiful
270;キログラム;guramu;kiro guramu;Noun;kilogram
271;キロメートル;meetoru;kiro meetoru;Noun;kilometer
272;切る;きる;kiru;Godan verb (transitive);to cut
273;着る;きる;kiru;Ichidan verb (transitiv);to wear
274;喫茶店;きっさてん;kissaten;Noun;coffee shop, tearoom, cafe
275;北;きた;kita;Noun;north
276;汚い;きたない;kitanai;い-adjective;dirty
277;切手;きって;kitte;Noun;stamp (postage)
278;こっち;empty;kocchi;Noun;this person or way
279;こちら;empty;kochira;Noun;this way, this direction​
280;子供;こども;kodomo;Noun;child
281;声;こえ;koe;Noun;voice
282;ここ;empty;koko;Pronoun;here, this place
283;九日;ここのか;kokonoka;Noun;ninth day of the month / 9 days
284;九つ;ここのつ;kokonotsu;Noun, Numeric;nine, 9
285;困る;こまる;komaru;Godan verb (intransitive);to be troubled
286;今晩;こんばん;konban;Noun;tonight, this evening
287;今月;こんげつ;kongetsu;Noun;this month
288;こんな;empty;konna;Pre-noun adjectival;such, like this​
289;この;empty;kono;Pre-noun adjectival;this​
290;今週;こんしゅう;konshuu;Noun;this week
291;コーヒー;empty;koohii;Noun;Coffee
292;コート;empty;kooto;Noun;coat
293;コピー;empty;kopii;Noun, Suru verb;copy, photocopy
294;コップ;empty;koppu;Noun;glass (drinking vessel), tumbler​
295;これ;empty;kore;Pronoun;this
296;答える;こたえる;kotaeru;Ichidan verb (intransitive);to answer
297;言葉;ことば;kotoba;Noun;word, words
298;今年;ことし;kotoshi;Noun;this year
299;交番;こうばん;kouban;Noun;police box
300;紅茶;こうちゃ;koucha;Noun;black tea
301;公園;こうえん;kouen;Noun;park
302;交差点;こうさてん;kousaten;Noun;intersection
303;口;くち;kuchi;Noun;mouth, opening
304;果物;くだもの;kudamono;Noun;fruit
305;下さい;ください;kudasai;Expression;please
306;曇り;くもり;kumori;Noun;cloudiness, cloudy weather
307;曇る;くもる;kumoru;Godan verb (intransitive);to become cloudy, to become dim
308;国;くに;kuni;Noun;country, state, region
309;暗い;くらい;kurai;い-adjective;dark, gloomy, murky
310;クラス;empty;kurasu;Noun;class
311;黒;くろ;kuro;Noun;black
312;黒い;くろい;kuroi;い-adjective;black
313;来る;くる;kuru;Intransitive verb;to come
314;車;くるま;kuruma;Noun;car, automobile, vehicle
315;薬;くすり;kusuri;Noun;medicine
316;靴;くつ;kutsu;Noun;shoes
317;靴下;くつした;kutsushita;Noun;socks
318;去年;きょねん;kyonen;Noun;last year
319;今日;きょう;kyou;Noun, Temporal noun;today, this day
320;兄弟;きょうだい;kyoudai;Noun;siblings, brothers and sisters​, mate
321;教室;きょうしつ;kyoushitsu;Noun;classroom
322;九;きゅう;kyuu;Noun, Numeric;nine, 9
323;マッチ;empty;macchi;Noun;match
324;町;まち;machi;Noun;town, block, neighborhood
325;窓;まど;mado;Noun;window
326;前;まえ;mae;Noun, Suffix;previous, before, in front, ago
327;曲がる;まがる;magaru;Godan verb (intransitive);to turn, to bend
328;毎朝;まいあさ;maiasa;Noun;every morning
329;毎晩;まいばん;maiban;Noun;every night
330;毎日;まいにち;mainichi;Noun;every day
331;毎週;まいしゅう;maishuu;Noun;every week
332;毎年;/ mainenまいとし / まいねん;maitoshi / mainen;Noun;every year, yearly, annually
333;毎月;まいつき;maitsuki;Noun;every month, monthly
334;万;まん;man;Noun, Numeric;10,000, ten thousand
335;万年筆;まんねんひつ;mannenhitsu;Noun;fountain pen
336;丸い;まるい;marui;い-adjective;round,circular
337;真っ直ぐ;まっすぐ;massugu;Noun, な-adjective, Adverb;straight ahead,direct
338;待つ;まつ;matsu;Godan verb (intransitive), Transitive verb;to wait​
339;不味い;まずい;mazui;い-adjective;unpleasant
340;目;め;me;Noun;eye
341;メートル;empty;meetoru;Noun;metre, meter
342;眼鏡;めがね;megane;Noun;glasses
343;道;みち;michi;Noun;road, street
344;緑;みどり;midori;Noun;green
345;磨く;みがく;migaku;Godan verb (intransitive);to polish, to shine, to brush (e.g. teeth)
346;右;みぎ;migi;Noun;right, right hand side
347;短い;みじかい;mijikai;い-adjective;short
348;三日;みっか;mikka;Noun;the third day of the month / 3 days
349;耳;みみ;mimi;Noun;ear, hearing
350;南;みなみ;minami;Noun;south
351;皆さん;みなさん;minasan;Noun;everyone
352;みんな;empty;minna;Noun, Adverb;all, everyone, everybody
353;見る;みる;miru;Ichidan verb (transitiv);to see, to look, to watch, to view, to observe
354;店;みせ;mise;Noun;store, shop, establishment, restaurant
355;見せる;みせる;miseru;Ichidan verb (transitiv);to show, to display
356;三つ;みっつ;mittsu;Noun, Numeric;three, 3
357;水;みず;mizu;Noun;water, fluid, liquid​
358;木曜日;もくようび;mokuyoubi;Noun;Thursday
359;門;もん;mon;Noun;gate
360;問題;もんだい;mondai;Noun;problem, question (e.g. on a test)
361;物;もの;mono;Noun;thing
362;持つ;もつ;motsu;Verb, Godan verb;to hold
363;もっと;empty;motto;Adverb;more, longer, further
364;もう一度;もういちど;mouichido;Expression;once more, again
365;六日;むいか;muika;Noun;sixth day of the month / 6 days
366;向こう;むこう;mukou;Noun;over there
367;村;むら;mura;Noun;village
368;六つ;むっつ;muttsu;Noun, Numeric;six, 6
369;難しい;むずかしい;muzukashii;い-adjective;difficult
370;長い;ながい;nagai;い-adjective;long (distance)​, long (time), lengthy.
371;ナイフ;empty;naifu;Noun;knife
372;中;なか;naka;Noun;inside, in, within, center
373;鳴く;なく;naku;Godan verb (intransitive);animal noise. to chirp
374;無くす;なくす;nakusu;Godan verb (transitive);to lose (something)
375;名前;なまえ;namae;Noun;name, full name, given name
376;七つ;ななつ;nanatsu;Noun, Numeric;seven, 7
377;何;なに;nani;Noun, Pronoun, Prefix;what
378;七日;なのか;nanoka;Noun;seventh day of the month / 7 days
379;並べる;ならべる;naraberu;Ichidan verb (transitiv);to line up,to set up
380;並ぶ;ならぶ;narabu;Godan verb (intransitive);to line up,to stand in a line
381;習う;ならう;narau;Godan verb (transitive);to be taught, to learn (from a teacher)
382;夏;なつ;natsu;Noun;summer
383;夏休み;なつやすみ;natsuyasumi;Noun;summer vacation, summer holiday
384;何故;なぜ;naze;Adverb;why, how
385;猫;ねこ;neko;Noun;cat
386;ネクタイ;empty;nekutai;Noun;tie, necktie
387;寝る;ねる;neru;Ichidan verb (intransitive);to sleep, to go to bed, to lie down
388;二;に;ni;Noun, Numeric;two, 2
389;日曜日;にちようび;nichiyoubi;Noun;Sunday
390;賑やか;にぎやか;nigiyaka;な-adjective;bustling,busy
391;日記;にっき;nikki;Noun;diary, journal
392;肉;にく;niku;Noun;meat
393;荷物;にもつ;nimotsu;Noun;luggage, baggage
394;西;にし;nishi;Noun;west
395;庭;にわ;niwa;Noun;garden
396;登る;のぼる;noboru;Godan verb (intransitive);to climb
397;飲み物;のみもの;nomimono;Noun;drink, beverage
398;飲む;のむ;nomu;Godan verb (transitive);to drink
399;ノート;empty;nooto;Noun;notebook
400;乗る;のる;noru;Godan verb (intransitive);to get on (train, plane, bus, ship, etc.)
401;脱ぐ;ぬぐ;nugu;Godan verb (transitive);to take off clothes
402;温い;ぬるい;nurui;い-adjective;luke warm
403;ニュース;empty;nyuusu;Noun;news
404;おばあさん;empty;obaasan;Noun;grandmother
405;伯母さん;おばさん;obasan;Noun;aunt, old lady
406;お弁当;おべんとう;obentou;Noun;lunch box, Japanese box lunch
407;覚える;おぼえる;oboeru;Ichidan verb (transitiv);to remember
408;お茶;おちゃ;ocha;Noun;tea
409;お風呂;おふろ;ofuro;Noun;bath
410;美味しい;おいしい;oishii;い-adjective;delicious
411;伯父さん;おじさん;ojisan;Noun;uncle, old man, mister
412;お母さん;おかあさん;okaasan;Noun;mother, mom, mum, ma
413;お金;おかね;okane;Noun;money
414;お菓子;おかし;okashi;Noun;confections, sweets, candy
415;起きる;おきる;okiru;Ichidan verb (intransitive);to get up, to wake up
416;置く;おく;oku;Godan verb (transitive);to put, to place​
417;奥さん;おくさん;okusan;Noun;wife, your wife, his wife
418;お巡りさん;sanおまわりさん;omawari san;Noun;police officer (friendly term for policeman)
419;重い;おもい;omoi;い-adjective;heavy
420;面白い;おもしろい;omoshiroi;い-adjective;interesting
421;同じ;おなじ;onaji;Noun, Adverb;same
422;お腹;おなか;onaka;Noun;stomach
423;お姉さん;おねえさん;oneesan;Noun;elder sister, young lady, miss, ma'am
424;音楽;おんがく;ongaku;Noun;music
425;お兄さん;おにいさん;oniisan;Noun;older brother, elder brother, young man, buddy
426;女;おんな;onna;Noun, Prefix;woman, female sex
427;女の子;おんなのこ;onnanoko;Noun, Expression;girl, daughter, young women
428;多い;おおい;ooi;い-adjective;many, numerous, a lot, large quantity, frequent
429;大きい;おおきい;ookii;い-adjective;big, large, great, important
430;大きな;おおきな;ookina;Pre-noun adjectival;big, large, great​
431;大勢;おおぜい;oozei;Noun;crowd of people, great number of people
432;降りる;おりる;oriru;Ichidan verb (intransitive);to get off
433;お酒;おさけ;osake;Noun;alcohol
434;お皿;おさら;osara;Noun;plate, dish
435;教える;おしえる;oshieru;Ichidan verb (transitiv);to teach
436;遅い;おそい;osoi;い-adjective;slow, time-consuming, late
437;押す;おす;osu;Godan verb (transitive);to push, to press​
438;お手洗い;おてあらい;otearai;Noun;toilet, restroom, lavatory, bathroom
439;男;おとこ;otoko;Noun;man, male
440;男の子;おとこのこ;otokonoko;Noun, Expression;boy, male child, baby boy
441;大人;おとな;otona;Noun;adult
442;一昨日;おととい;ototoi;Noun;day before yesterday
443;一昨年;おととし;ototoshi;Noun;year before last
444;お父さん;おとうさん;otousan;Noun;father, dad, papa, pa, pop, daddy
445;弟;おとうと;otouto;Noun;younger brother
446;終わる;おわる;owaru;Godan verb (intransitive);to finish, to end
447;泳ぐ;およぐ;oyogu;Godan verb (intransitive);to swim
448;パーティー;empty;paatii;Noun;party
449;パン;empty;pan;Noun;bread
450;ページ;empty;peeji;Noun;page
451;ペン;empty;pen;Noun;pen
452;ペット;empty;petto;Noun;pet
453;ポケット;empty;poketto;Noun;pocket
454;ポスト;empty;posuto;Noun;post
455;プール;empty;puuru;Noun;swimming pool
456;来月;らいげつ;raigetsu;Noun;next month
457;来年;らいねん;rainen;Noun;next year
458;来週;らいしゅう;raishuu;Noun;next week
459;ラジオ;empty;rajiio;Noun;radio
460;零;れい;rei;Noun;zero
461;冷蔵庫;れいぞうこ;reizouko;Noun;refrigerator
462;レコード;empty;rekoodo;Noun;record
463;練習;れんしゅう;renshuu;Noun, Verb, Suru verb;practice, practicing
464;レストラン;empty;resutoran;Noun;restaurant
465;立派;りっぱ;rippa;な-adjective;splendid
466;六;ろく;roku;Noun, Numeric;six, 6
467;廊下;ろうか;rouka;Noun;corridor, hallway, passageway
468;旅行;りょこう;ryokou;Noun, Verb, Suru verb;travel, trip, journey, excursion, tour
469;料理;りょうり;ryouri;Noun, Suru verb;cuisine
470;両親;りょうしん;ryoushin;Noun;parents, both parents
471;留学生;りゅうがくせい;ryuugakusei;Noun;overseas student, exchange student
472;さあ;empty;saa;Conjunction;well…
473;財布;さいふ;saifu;Noun;purse, wallet
474;魚;さかな;sakana;Noun;fish
475;先;さき;saki;Noun, Prefix, Suffix;previous, prior, first, earlier
476;咲く;さく;saku;Godan verb (intransitive);to bloom
477;作文;さくぶん;sakubun;Noun;writing, composition
478;寒い;さむい;samui;い-adjective;cold
479;三;さん;san;Noun, Numeric;three, 3
480;散歩;さんぽ;sanpo;Noun, Verb, Suru verb;walk, stroll
481;再来年;さらいねん;sarainen;Noun;year after next
482;差す;さす;sasu;Godan verb (transitive);to stretch out hands, to raise an umbrella
483;砂糖;さとう;satou;Noun;sugar
484;背;せ;se;Noun;height, stature, back, spine
485;背広;せびろ;sebiro;Noun;business suit
486;セーター;empty;seetaa;Noun;sweater, jumper
487;生徒;せいと;seito;Noun;pupil, student
488;石鹼;せっけん;sekken;Noun;soap
489;狭い;せまい;semai;い-adjective;narrow
490;千;せん;sen;Noun, Numeric;1,000, thousand
491;先月;せんげつ;sengetsu;Noun;last month
492;先生;せんせい;sensei;Noun, Suffix;teacher, instructor, master
493;先週;せんしゅう;senshuu;Noun;last week
494;洗濯;せんたく;sentaku;Noun, Suru verb;washing, laundry
495;写真;しゃしん;shashin;Noun;photograph, photo
496;シャツ;empty;shatsu;Noun;shirt
497;シャワー;empty;shawaa;Noun;shower
498;四;し;shi;Noun, Numeric;four, 4
499;七;しち;shichi;Noun, Numeric;seven, 7
500;仕事;しごと;shigoto;Noun, Verb, Suru verb;work, job, business
501;閉まる;しまる;shimaru;Godan verb (intransitive);to close, to be closed
502;閉める;しめる;shimeru;Ichidan verb (transitiv);to close, to shut
503;締める;しめる;shimeru;Ichidan verb (transitiv);to tie, to fasten, to tighten​
504;新聞;しんぶん;shinbun;Noun;newspaper
505;死ぬ;しぬ;shinu;Godan verb (intransitive);to die
506;塩;しお;shio;Noun;salt
507;白;しろ;shiro;Noun;white, innocence, innocent person
508;白い;しろい;shiroi;い-adjective;white
509;知る;しる;shiru;Godan verb (transitive);to know
510;下;した;shita;Noun;below, down, under, bottom
511;質問;しつもん;shitsumon;Noun, Verb, Suru verb;question, inquiry
